entity1,entity2,count
Bağdat,Van,3
Balkan,Üsküp,3
Kırgızistan,Özbekistan,3
Kırgızistan,Türkmenistan,3
Bayezid,İspanya,3
Bulgaristan,İstanbul Antlaşması,3
Bursa,Sultan,3
TBMM,İsmet Paşa,3
Doğu Roma,Sultan Alp Arslan,3
Avrupa,İsveç,3
Selçuklu,Türkistan,3
Fransa,Yugoslavya,3
Fransa,Çekoslovakya,3
Mustafa Kemal,Sofya,3
Doğu Roma,Selçuklu,3
Gürcistan,Kars,3
Avrupa,Sanayi İnkılabı,3
Sakarya,İznik,3
Yunanistan,İzmir,3
Mustafa Kemal,Samsun,3
Yunanistan,İstanbul,3
Kızıldeniz,Portekiz,3
Batı Blok,u,3
Almanya,Bulgaristan,3
Venedik,İstanbul,3
Venedik,İspanya,3
Doğu Roma,Edirne,3
Hatay,Musul,3
Akdeniz,Fransa,3
Erzurum,İngiltere,3
Erzurum,İstanbul,3
Avrupa,Dünya Savaşı ',3
Almanya,Hollanda,3
Akdeniz,Rus,3
Osmanlı Devleti,Üçlü İttifak,3
Kıbrıs,Osmanlı,3
Avrupa,Lehistan,3
Kerkük,Türkiye,3
Bozcaada,Yunanistan,3
İngiltere,İsveç,3
Bozcaada,Gökçeada,3
Sovyetler Birliği,Türkiye,3
Balta Limanı Antlaşması,İngiltere,3
Bulgaristan,İngiltere,3
Brezilya,Portekiz,3
Bulgaristan,İtalya,3
Bulgaristan,Japonya,3
Mehmet Gönlübol,Türk Dış Politikası,3
Hoca Ahmed Yesevi,Yunus Emre,3
Fransa,Çin,3
NATO ',Türkiye,3
Girit Adası,Osmanlı Devleti,3
Girit Adası,Venedik,3
Osmanlı,Ukrayna Kazak,3
Avrupa,Haçlı Seferleri,3
Bursa,Doğu Roma,3
Dünya Savaşı ',Osmanlı Devleti,3
Çin,İngiltere,3
Avrupa,Viyana,3
Avrupa,Hollanda,3
Avrupa,İslam,3
Osmanlı,İspanyol,3
Milletler Cemiyeti,İngiltere,3
Avrupa,Portekiz,3
Revan,Safevi,3
Balkanlar,Doğu,3
Avrupa,esans,3
Arnavutluk,Osmanlı Devleti,3
Büyük Selçuklu Devleti,Türkiye Selçuklu,3
Mevlana,Yunus Emre,3
Anadolu,Hindistan,3
Londra Protokolü,Osmanlı,3
Avusturya,Yunanistan,3
Emevîler,Suriye,3
Afrika,İspanyol,3
Rusya,İtilaf Devletleri,3
Edirne ' nin Fethi,Rumeli,3
Gelibolu,Rumeli,3
Batı Afrika,Portekiz,3
Anadolu,Van,3
Aksaray,Konya,3
Edirne ' nin Fethi,Koyunhisar Savaşı,3
Anadolu,Moğol istilası,3
Türkiye,İstanbul,3
Gelibolu,Trakya,3
Edirne ' nin Fethi,İznik ' in Fethi,3
Anadolu,Hoca Ahmed Yesevi,3
Osmanlı Devleti,Yeniçeri Ocağı,3
Rusya,Türkiye,3
Japonya,SSCB,3
Ferdinand,Jan Zapolya,3
Japonya,Yunanistan,3
Mısır,Türkiye,3
Çanakkale,İtilaf Devletleri,3
Karacahisar,Osman Gazi,3
Ege,Türkiye,3
Osman Gazi,İznik,3
Gökçeada,Yunanistan,3
Bilecik,Osman Gazi,3
Kuzey Afrika,İspanya,3
Avusturya,İspanya,3
Kuzey Afrika,Osmanlı,3
Fransa,Paris,3
Fransız,İngiliz,3
Anadolu,Konya,3
ABD,Monroe Doktrini,3
Osmanlı Hük,ûmet,3
ABD,Milletler Cemiyeti,3
İnönü,İsmet Paşa,3
Batı,Haçlı seferleri,3
